lon_deg,lat_deg,bouguer_mgal
78.6000,10.7000,-65.354305
78.6500,10.7000,-58.551152
78.7000,10.7000,-51.099931
78.7500,10.7000,-45.019235
78.8000,10.7000,-41.121912
78.8500,10.7000,-38.793944
78.9000,10.7000,-38.041367
78.9500,10.7000,-38.702536
79.0000,10.7000,-39.302544
79.0500,10.7000,-39.266368
79.1000,10.7000,-39.542883
79.1500,10.7000,-39.631237
79.2000,10.7000,-37.830296
79.2500,10.7000,-34.640379
79.3000,10.7000,-31.776715
79.3500,10.7000,-29.086990
79.4000,10.7000,-26.148624
79.4500,10.7000,-24.264484
79.5000,10.7000,-24.283311
79.5500,10.7000,-25.743491
79.6000,10.7000,-28.611589
78.6000,10.6500,-61.831764
78.6500,10.6500,-54.423706
78.7000,10.6500,-47.331434
78.7500,10.6500,-42.769919
78.8000,10.6500,-40.675431
78.8500,10.6500,-39.770442
78.9000,10.6500,-40.233072
78.9500,10.6500,-42.337831
79.0000,10.6500,-44.610111
79.0500,10.6500,-45.880559
79.1000,10.6500,-46.547087
79.1500,10.6500,-46.251672
79.2000,10.6500,-43.660450
79.2500,10.6500,-39.286415
79.3000,10.6500,-35.131918
79.3500,10.6500,-31.879850
79.4000,10.6500,-29.284171
79.4500,10.6500,-27.726621
79.5000,10.6500,-27.363093
79.5500,10.6500,-27.978852
79.6000,10.6500,-30.082416
78.6000,10.6000,-56.704253
78.6500,10.6000,-49.583929
78.7000,10.6000,-44.068387
78.7500,10.6000,-41.114065
78.8000,10.6000,-39.970089
78.8500,10.6000,-39.916912
78.9000,10.6000,-41.530694
78.9500,10.6000,-45.044858
79.0000,10.6000,-48.962996
79.0500,10.6000,-51.489905
79.1000,10.6000,-52.071924
79.1500,10.6000,-50.771738
79.2000,10.6000,-47.643823
79.2500,10.6000,-43.279729
79.3000,10.6000,-38.633657
79.3500,10.6000,-34.392229
79.4000,10.6000,-31.367757
79.4500,10.6000,-30.268933
79.5000,10.6000,-30.510776
79.5500,10.6000,-31.125440
79.6000,10.6000,-32.683296
78.6000,10.5500,-51.806528
78.6500,10.5500,-45.216826
78.7000,10.5500,-40.965491
78.7500,10.5500,-38.762349
78.8000,10.5500,-38.346080
78.8500,10.5500,-40.138543
78.9000,10.5500,-43.874467
78.9500,10.5500,-48.362928
79.0000,10.5500,-52.462020
79.0500,10.5500,-55.159507
79.1000,10.5500,-55.574183
79.1500,10.5500,-53.754725
79.2000,10.5500,-50.680174
79.2500,10.5500,-47.029556
79.3000,10.5500,-42.651369
79.3500,10.5500,-37.705119
79.4000,10.5500,-33.674292
79.4500,10.5500,-32.114096
79.5000,10.5500,-32.753072
79.5500,10.5500,-34.388874
79.6000,10.5500,-36.850154
78.6000,10.5000,-46.667398
78.6500,10.5000,-40.707391
78.7000,10.5000,-37.399238
78.7500,10.5000,-35.905684
78.8000,10.5000,-36.891803
78.8500,10.5000,-41.338426
78.9000,10.5000,-47.357602
78.9500,10.5000,-52.280106
79.0000,10.5000,-55.802841
79.0500,10.5000,-58.276286
79.1000,10.5000,-58.763429
79.1500,10.5000,-56.671128
79.2000,10.5000,-52.884235
79.2500,10.5000,-48.482270
79.3000,10.5000,-43.894729
79.3500,10.5000,-39.468587
79.4000,10.5000,-36.069533
79.4500,10.5000,-34.677335
79.5000,10.5000,-35.441469
79.5500,10.5000,-37.520467
79.6000,10.5000,-40.805101
78.6000,10.4500,-41.489882
78.6500,10.4500,-36.645609
78.7000,10.4500,-34.750322
78.7500,10.4500,-34.681166
78.8000,10.4500,-37.231021
78.8500,10.4500,-43.025911
78.9000,10.4500,-49.594112
78.9500,10.4500,-54.572219
79.0000,10.4500,-58.234407
79.0500,10.4500,-60.760204
79.1000,10.4500,-60.983027
79.1500,10.4500,-58.403805
79.2000,10.4500,-53.631506
79.2500,10.4500,-47.814478
79.3000,10.4500,-42.761363
79.3500,10.4500,-39.759305
79.4000,10.4500,-38.558802
79.4500,10.4500,-38.702903
79.5000,10.4500,-40.355728
79.5500,10.4500,-42.228570
79.6000,10.4500,-44.776543
78.6000,10.4000,-37.872558
78.6500,10.4000,-34.306938
78.7000,10.4000,-33.799080
78.7500,10.4000,-35.257174
78.8000,10.4000,-39.044368
78.8500,10.4000,-44.768291
78.9000,10.4000,-50.443029
78.9500,10.4000,-55.436729
79.0000,10.4000,-59.804698
79.0500,10.4000,-61.851889
79.1000,10.4000,-60.579340
79.1500,10.4000,-57.403156
79.2000,10.4000,-53.098763
79.2500,10.4000,-47.677682
79.3000,10.4000,-43.125497
79.3500,10.4000,-41.254183
79.4000,10.4000,-41.221523
79.4500,10.4000,-42.499720
79.5000,10.4000,-45.625282
79.5500,10.4000,-49.163305
79.6000,10.4000,-51.661323
78.6000,10.3500,-35.757472
78.6500,10.3500,-33.338676
78.7000,10.3500,-33.426257
78.7500,10.3500,-35.705486
78.8000,10.3500,-40.732950
78.8500,10.3500,-46.836465
78.9000,10.3500,-51.976585
78.9500,10.3500,-56.909626
79.0000,10.3500,-61.322759
79.0500,10.3500,-61.913953
79.1000,10.3500,-58.491385
79.1500,10.3500,-54.776229
79.2000,10.3500,-51.607570
79.2500,10.3500,-47.546996
79.3000,10.3500,-44.250695
79.3500,10.3500,-43.432277
79.4000,10.3500,-43.625038
79.4500,10.3500,-45.147940
79.5000,10.3500,-50.224903
79.5500,10.3500,-56.589102
79.6000,10.3500,-60.367239
78.6000,10.3000,-34.505334
78.6500,10.3000,-33.444055
78.7000,10.3000,-33.767950
78.7500,10.3000,-36.103063
78.8000,10.3000,-41.951156
78.8500,10.3000,-48.798561
78.9000,10.3000,-53.714715
78.9500,10.3000,-57.821192
79.0000,10.3000,-61.151111
79.0500,10.3000,-60.418299
79.1000,10.3000,-56.078349
79.1500,10.3000,-52.284978
79.2000,10.3000,-49.159360
79.2500,10.3000,-45.050979
79.3000,10.3000,-42.726162
79.3500,10.3000,-44.104575
79.4000,10.3000,-46.328305
79.4500,10.3000,-49.312757
79.5000,10.3000,-55.630833
79.5500,10.3000,-62.920825
79.6000,10.3000,-66.765163
78.6000,10.2500,-34.903196
78.6500,10.2500,-34.995700
78.7000,10.2500,-35.789448
78.7500,10.2500,-37.855429
78.8000,10.2500,-43.212646
78.8500,10.2500,-49.520116
78.9000,10.2500,-53.448389
78.9500,10.2500,-55.940137
79.0000,10.2500,-57.691629
79.0500,10.2500,-56.408202
79.1000,10.2500,-52.640857
79.1500,10.2500,-49.444746
79.2000,10.2500,-46.050269
79.2500,10.2500,-41.551364
79.3000,10.2500,-40.126828
79.3500,10.2500,-43.688110
79.4000,10.2500,-49.182965
79.4500,10.2500,-54.673132
79.5000,10.2500,-61.275007
79.5500,10.2500,-67.040561
79.6000,10.2500,-68.940668
78.6000,10.2000,-36.652195
78.6500,10.2000,-36.624177
78.7000,10.2000,-37.821533
78.7500,10.2000,-39.727469
78.8000,10.2000,-43.725797
78.8500,10.2000,-48.424627
78.9000,10.2000,-51.181595
78.9500,10.2000,-52.477483
