lon_deg,lat_deg,z_horizon_elev_m,basement_depth_m
139.538178,-28.488008,-1523.0,1523.0
139.494619,-28.475322,-1580.7,1580.7
139.522510,-28.436756,-1600.6,1600.6
139.562635,-28.461762,-1551.3,1551.3
139.560696,-28.435651,-1600.1,1600.1
139.573130,-28.488520,-1485.6,1485.6
139.593421,-28.474544,-1524.8,1524.8
139.620173,-28.486727,-1544.5,1544.5
139.617418,-28.460989,-1559.7,1559.7
139.638790,-28.493501,-1584.9,1584.9
139.639314,-28.477189,-1571.2,1571.2
139.650157,-28.489096,-1599.2,1599.2
139.798415,-28.495095,-1952.0,1952.0
139.760287,-28.499886,-1877.4,1877.4
139.815409,-28.497237,-1925.6,1925.6
139.822127,-28.503052,-1909.5,1909.5
139.818501,-28.487853,-1929.5,1929.5
139.825219,-28.494668,-1908.0,1908.0
139.813457,-28.477915,-1959.0,1959.0
139.829447,-28.474941,-1913.9,1913.9
139.802031,-28.468204,-1980.7,1980.7
139.818924,-28.462986,-1961.6,1961.6
139.776949,-28.466802,-2005.7,2005.7
139.795016,-28.454292,-1974.5,1974.5
139.809474,-28.451473,-1933.9,1933.9
139.785828,-28.445156,-1995.1,1995.1
139.800765,-28.439530,-1934.2,1934.2
139.772452,-28.446176,-2009.3,2009.3
139.778389,-28.432192,-1965.6,1965.6
139.756913,-28.451077,-2003.6,2003.6
139.764057,-28.435446,-2004.1,2004.1
139.744705,-28.473223,-1942.9,1942.9
139.732783,-28.447503,-1979.4,1979.4
139.735853,-28.495099,-1855.2,1855.2
139.727012,-28.482394,-1909.1,1909.1
139.718492,-28.494120,-1863.3,1863.3
139.691872,-28.501615,-1847.2,1847.2
139.702384,-28.490802,-1881.0,1881.0
139.689981,-28.490170,-1917.9,1917.9
139.712934,-28.480495,-1887.2,1887.2
139.700594,-28.478706,-1884.6,1884.6
139.705932,-28.467707,-1883.4,1883.4
139.694241,-28.483897,-1904.1,1904.1
139.691630,-28.476957,-1906.0,1906.0
139.686471,-28.482337,-1929.0,1929.0
139.681153,-28.487425,-1927.2,1927.2
139.678177,-28.480090,-1845.7,1845.7
139.683404,-28.494303,-1893.3,1893.3
139.675970,-28.491928,-1861.0,1861.0
139.677659,-28.500041,-1772.0,1772.0
139.664675,-28.492330,-1703.3,1703.3
139.672578,-28.485319,-1826.1,1826.1
139.665138,-28.482337,-1672.7,1672.7
139.670011,-28.477592,-1661.1,1661.1
139.655940,-28.480760,-1597.4,1597.4
139.662287,-28.475628,-1594.5,1594.5
139.653757,-28.467976,-1584.2,1584.2
139.638486,-28.461273,-1574.6,1574.6
139.666516,-28.469462,-1610.4,1610.4
139.664997,-28.457325,-1635.7,1635.7
139.648820,-28.454203,-1588.1,1588.1
139.672808,-28.465588,-1639.8,1639.8
139.675239,-28.472606,-1697.7,1697.7
139.676854,-28.460691,-1749.6,1749.6
139.680416,-28.467749,-1774.6,1774.6
139.675025,-28.454622,-1782.6,1782.6
139.682312,-28.455982,-1810.0,1810.0
139.671728,-28.448746,-1837.1,1837.1
139.679081,-28.450175,-1838.7,1838.7
139.663542,-28.446522,-1794.9,1794.9
139.668706,-28.442226,-1890.3,1890.3
139.655976,-28.447750,-1668.8,1668.8
