lon_deg,lat_deg,elev_m,obs_gravity_um,spherical_bouguer_mgal,infinite_slab_bouguer_mgal
140.422912,-28.398502,40.29,9791795.61,-103.36,-133.67
140.464570,-28.281832,40.83,9791606.91,-202.52,-233.28
140.491239,-28.221831,38.32,9791591.80,-177.01,-208.15
140.086241,-27.945504,32.79,9791439.02,-134.04,-164.57
140.078241,-27.944834,31.66,9791451.73,-123.05,-153.59
140.070741,-27.944174,31.86,9791461.14,-112.78,-143.29
140.062911,-27.943834,34.72,9791461.84,-106.27,-136.71
140.054071,-27.944004,31.66,9791474.64,-99.59,-130.05
140.044911,-27.943834,30.76,9791476.74,-99.15,-129.60
140.036741,-27.943835,30.79,9791471.54,-104.32,-134.74
140.027742,-27.943505,38.04,9791448.33,-113.17,-143.44
140.020412,-27.943505,49.95,9791412.61,-125.67,-155.73
140.012742,-27.944175,35.30,9791438.32,-129.08,-159.34
140.004072,-27.943505,27.45,9791446.73,-135.53,-165.88
139.995412,-27.942175,32.97,9791424.82,-145.70,-175.94
139.988412,-27.942005,33.69,9791417.01,-152.00,-182.20
139.980412,-27.941675,30.30,9791417.51,-157.90,-188.12
139.973072,-27.937005,30.17,9791406.51,-165.68,-195.89
139.968742,-27.932675,17.68,9791393.30,-200.02,-230.44
139.963912,-27.928005,27.56,9791400.50,-170.04,-200.30
139.956742,-27.922675,30.07,9791367.99,-193.68,-223.90
139.951242,-27.917675,33.06,9791377.39,-174.70,-204.88
139.946072,-27.913175,30.87,9791377.19,-175.81,-206.02
139.939912,-27.908175,28.70,9791378.49,-175.02,-205.26
139.934412,-27.903335,39.51,9791350.38,-178.42,-208.49
139.927242,-27.898005,29.24,9791369.19,-175.68,-205.90
139.921572,-27.892335,35.21,9791352.28,-176.71,-206.83
139.915412,-27.888006,39.63,9791337.77,-179.37,-209.41
139.908912,-27.882176,33.18,9791349.98,-175.41,-205.55
139.903242,-27.876836,29.83,9791354.28,-173.67,-203.85
139.897572,-27.871506,28.00,9791355.28,-172.26,-202.47
139.891072,-27.866506,24.65,9791358.08,-172.28,-202.53
139.883572,-27.860176,25.99,9791350.28,-172.75,-202.98
139.878912,-27.856006,26.40,9791347.68,-171.44,-201.66
139.873242,-27.851336,28.05,9791340.67,-171.74,-201.93
139.865742,-27.845336,28.03,9791337.07,-170.90,-201.10
139.860412,-27.840506,25.52,9791339.67,-169.59,-199.83
139.854242,-27.834836,26.37,9791334.27,-169.10,-199.34
139.848242,-27.830506,29.43,9791323.96,-170.20,-200.39
139.841572,-27.824176,24.72,9791330.27,-168.36,-198.64
139.836572,-27.820506,33.91,9791305.75,-172.20,-202.33
139.830572,-27.815006,25.44,9791322.26,-168.11,-198.39
139.824572,-27.810676,25.52,9791318.06,-168.92,-199.21
139.818742,-27.805176,23.00,9791319.46,-168.33,-198.67
139.812742,-27.799836,25.12,9791309.86,-169.81,-200.13
139.806072,-27.794836,21.28,9791314.06,-169.38,-199.76
139.801742,-27.789836,21.91,9791307.75,-170.72,-201.09
139.795572,-27.785506,20.88,9791304.65,-172.60,-203.00
139.788572,-27.779176,19.97,9791301.15,-173.16,-203.58
139.782412,-27.774176,21.81,9791291.55,-175.46,-205.84
139.777072,-27.768836,30.99,9791267.93,-177.17,-207.41
139.770742,-27.762837,31.26,9791262.83,-177.27,-207.52
139.766573,-27.769507,22.80,9791286.94,-174.69,-205.02
139.758913,-27.766837,29.13,9791271.53,-175.77,-205.98
139.756913,-27.759677,26.69,9791272.64,-174.07,-204.35
139.755572,-27.752677,23.46,9791276.04,-171.73,-202.10
139.754072,-27.746007,24.88,9791270.03,-169.97,-200.35
139.751072,-27.739837,26.20,9791264.13,-168.69,-199.06
139.747412,-27.734177,26.07,9791262.83,-166.02,-196.41
139.744742,-27.726837,28.72,9791253.63,-164.56,-194.94
139.743072,-27.719837,29.02,9791251.42,-160.94,-191.35
139.742072,-27.713337,28.14,9791251.92,-157.30,-187.74
139.740072,-27.704677,24.13,9791249.52,-161.05,-191.60
139.739412,-27.697677,25.81,9791252.52,-149.54,-180.09
139.738572,-27.690177,28.64,9791245.02,-145.91,-176.45
139.737242,-27.683007,29.19,9791239.72,-144.78,-175.35
139.735912,-27.675837,30.76,9791233.61,-142.46,-173.03
139.734912,-27.668177,25.33,9791244.02,-136.93,-167.62
139.733912,-27.661177,26.19,9791239.12,-134.93,-165.64
139.732572,-27.653507,29.51,9791227.01,-134.83,-165.52
139.730742,-27.646677,35.54,9791209.30,-135.67,-166.29
139.729241,-27.639677,34.51,9791209.50,-132.26,-162.92
139.728071,-27.632007,35.58,9791203.30,-130.65,-161.33
139.726241,-27.625177,31.89,9791208.80,-127.26,-158.02
139.724741,-27.617337,34.55,9791198.90,-126.12,-156.88
139.723911,-27.613177,32.71,9791200.40,-125.11,-155.91
139.768573,-27.776837,23.25,9791290.04,-176.19,-206.49
139.771913,-27.782677,22.30,9791297.15,-175.31,-205.60
139.772573,-27.789677,23.05,9791301.35,-174.88,-205.14
139.773243,-27.795837,23.29,9791304.65,-175.73,-205.95
139.775243,-27.803507,24.18,9791307.35,-177.04,-207.21
139.776743,-27.811507,23.43,9791313.26,-178.61,-208.75
139.777913,-27.818337,22.96,9791316.96,-180.95,-211.06
139.778243,-27.825007,22.65,9791322.56,-180.97,-211.04
139.779413,-27.832507,23.19,9791326.36,-181.74,-211.76
139.779743,-27.839007,29.24,9791315.96,-185.22,-215.11
139.779073,-27.846007,26.92,9791326.16,-184.81,-214.69
139.779413,-27.853007,23.11,9791340.07,-183.59,-213.50
139.779913,-27.859837,23.06,9791344.57,-184.31,-214.19
139.781073,-27.866837,24.16,9791345.87,-186.12,-215.95
139.781414,-27.874007,32.33,9791332.67,-188.75,-218.43
139.782574,-27.880177,32.82,9791335.57,-189.51,-219.17
139.784244,-27.887007,35.18,9791334.37,-191.22,-220.82
139.785074,-27.892177,26.25,9791359.28,-187.61,-217.34
139.786914,-27.900177,21.86,9791373.99,-187.46,-217.25
139.789244,-27.906677,21.17,9791381.09,-186.58,-216.35
